,company,total_posts,sym_posts,pct_stress,rating_balance,rating_career,rating_comp,rating_culture,rating_mgmt,rating_overall,stress_z_score,rating_z_score,Q,f(Q),stock_2009,stock_2012,stock_2014,stock_2019,stock_growth_2014,log_stock_growth_2014,stock_growth_2012,log_stock_growth_2012,stock_growth_2009,log_stock_growth_2009,log_stock_2009,log_stock_2012,log_stock_2014,log_stock_2019,GICSSector
0,homedepot,21695,146,0.9932703387877392,3.071237182459937,3.2361566058337234,3.1669285153181463,3.532723598300342,2.9633038210624423,3.3871398939847888,0.082407066634605,-0.110431651909045,Q2,0.0231385473426526,19.041462551587298,44.60485735600001,74.15820322222223,200.86590496031732,2.708613426870703,0.9964368533525592,4.503229398474871,1.5047947834984023,10.548869574284522,2.356018704824256,2.946618841097329,3.7978427624231834,4.306200692569026,5.302637545921585,Consumer Discretionary
1,jpmorgan,18455,125,0.9932267678136006,3.2770476487075686,3.518595300917201,3.567631628847734,3.469825155104344,3.1316106194690265,3.605039284746681,0.0753789964740129,0.5191214233244242,Q1,0.0825710271352249,26.695390948412705,30.894284868,48.44405093253965,108.63121113888884,2.2424056008479205,0.8075492185677484,3.5162235216976327,1.2573875505262844,4.069287142069294,1.403467834745338,3.284490926850071,3.4305712110691244,3.880409543027661,4.687958761595409,Financials
2,apple,15345,209,0.9863799283154122,3.3744676243412983,3.473904194228393,4.0353937094067005,4.022310092142495,3.4422574322116954,3.9667644183773216,-1.0290275338619577,1.564214617344651,Q4,0.3393901221471873,4.486458126984126,17.646079683999993,20.670362801587316,50.89431475396823,2.4621877826962946,0.9010502972729596,2.884171196399787,1.059237578409809,11.343985235894817,2.4286876682986933,1.501063554598441,2.870513644487325,3.028700925624175,3.9297512228971354,Information Technology
3,bankofamerica,15280,185,0.987892670157068,3.352568454401448,3.3212484718826407,3.6190897890035423,3.3269786910197867,2.9032004403554303,3.4284031413612563,-0.7850197739196937,0.0087857731105647,Q4,0.1206003140179962,10.863106333333327,7.514166660000003,14.650816027777765,28.61707740079364,1.9532753224486623,0.6695076160746835,3.8084166476011623,1.3372135247046797,2.634336489276777,0.968631343558608,2.385372307982674,2.0167901268366024,2.6844960354665983,3.354003651541282,Financials
4,amazon,12660,138,0.9890995260663508,3.309609990046149,3.75593932748538,3.8052282768777617,3.70705186533212,3.330055258967876,3.788388625592417,-0.5903519205635522,1.048852786812246,Q4,0.2129836468483807,87.28182536904761,220.303640064,332.55103267857135,1789.1892060634923,5.380194407012536,1.6827245086532765,8.121469103023983,2.0945110618265423,20.49898931992301,3.020375583461835,4.469142255250297,5.39500677688559,5.806793330058856,7.489517838712132,Consumer Discretionary
5,sears,11859,94,0.9920735306518256,2.8328290468986386,2.432109389940716,2.3428709055876684,2.5139404320106573,2.18818574753408,2.5913652078590097,-0.1106400642659811,-2.4095771386941705,Q3,0.3789138711032309,36.67935135135135,40.15467699078338,26.5835363715415,0.3985406374501993,0.0149920097868111,-4.200237900684049,0.0099251361813139,-4.612684731463825,0.0108655312258,-4.522159773160189,3.602213963244751,3.692738921548388,3.2802920907686106,-0.919945809915438,
6,ibm,11306,82,0.9927472138687422,3.4204629973968017,3.18874883286648,3.1274969520772764,3.1081710612130813,2.6786464410735125,3.1979479922165224,-0.0019738476360559,-0.6570432929559583,Q3,0.100324629543202,75.42438014682547,142.99088102400006,137.91664388492066,127.31597693650797,0.923137145381394,-0.0799774689717831,0.8903782956280886,-0.1161088552971366,1.6879950049130972,0.5235414369946816,4.32313056687182,4.9627808591636375,4.926649472838284,4.846672003866501,
7,microsoft,10070,72,0.992850049652433,3.745219995392768,3.836412222609504,4.070286980867942,3.9068110737866326,3.485819390055773,4.061866931479642,0.0146137342826275,1.8389839931407577,Q1,0.2855749281442779,17.77555852380952,24.73046374000001,37.35569616666665,128.51659634920634,3.4403480469434986,1.23557264270438,5.196691728078621,1.6480222169836518,7.2299610826329,1.9782336533944849,2.877824397069601,3.208035833480434,3.620485407759706,4.856058050464086,Information Technology
9,sprint,7958,88,0.9889419452123648,3.2135908838243465,3.037965816755394,3.4274545710663475,3.0480849874196254,2.754529421196088,3.2320934908268417,-0.6157699728260543,-0.5583904074185375,Q3,0.1564065269249429,,,13.367142857142856,16.67530362348177,1.247484507474323,0.2211291297081639,,,,,,,2.592799670232508,2.813928799940672,
10,ups,7922,102,0.9871244635193132,3.1250841071188264,3.4162932790224034,3.660952774335674,3.184395723372581,2.9019577616772008,3.4106286291340564,-0.9089327745980802,-0.0425681971519606,Q3,0.1414419175407854,36.86119559126983,58.45247517199998,82.41584101984125,105.47413770634915,1.2797799112546426,0.2466881188150939,1.8044426244737295,0.5902517487923438,2.861386778548484,1.0513063949161197,3.607159387724047,4.068214033847823,4.411777663825073,4.658465782640167,
11,cisco,7220,41,0.9943213296398892,3.8700548657233615,3.484536082474227,3.6940157251019214,3.57939727615184,3.2230123997082423,3.6854570637119113,0.251933628597252,0.7514637895604485,Q1,0.1322013006251002,15.072697619047622,14.324761028000005,19.817521543650766,48.37429361904762,2.44098604926437,0.8924020762221726,3.3769703748978737,1.216978968755497,3.209398532477439,1.1660835465254116,2.7128850025276914,2.6619895802976057,2.9865664728309302,3.878968549053103,Information Technology
